row ID,Activity,a_acc,a_don,density,FCharge,logP(o/w),logS,PC+,PC-,TPSA,Weight
1584,0,0.05,0,0.066025,0,0.500592,0.836353,0,0,0.045001,0.075397
1588,0,0,0,0.005887,0,0.590844,0.709975,0,0,0,0.03563
1589,0,0,0,0.20596,0,0.66711,0.598486,0,0,0,0.223113
1590,0,0.025,0.04,0.035073,0,0.526622,0.766534,0,0,0.026003,0.069401
1591,0,0.025,0.04,0.035073,0,0.564908,0.735962,0,0,0.026003,0.070615
1592,0,0.025,0.04,0.035073,0,0.559823,0.722693,0,0,0.026003,0.070615
1593,0,0,0,0.167831,0,0.52813,0.786079,0,0,0,0.051779
1595,0,0.075,0.12,0.109735,0,0.435358,0.865397,0,0,0.07801,0.056092
1596,0,0.075,0.12,0.107927,0,0.429209,0.881078,0,0,0.085452,0.04705
1598,0,0.025,0.04,0.042822,0,0.507997,0.807281,0,0,0.026003,0.036818
1599,0,0.05,0.08,0.087123,0,0.459246,0.851514,0,0,0.052006,0.038006
1600,0,0.05,0.08,0.08125,0,0.447775,0.872505,0,0,0.059449,0.028964
1604,0,0.025,0,0.052697,0,0.550037,0.750768,0,0,0.033805,0.079038
1605,0,0.125,0.16,0.100004,0,0.445765,0.834352,0,0,0.115877,0.126062
1606,0,0.05,0.08,0.160501,0,0.453245,0.835813,0,0,0.110903,0.06511
1607,0,0,0,0.202936,0,0.510983,0.791321,0,0,0.058896,0.049686
1610,0,0.05,0.04,0.185075,0,0.516009,0.744663,0,0,0.063511,0.132558
1611,0,0.05,0.04,0.100723,0,0.444316,0.826414,0,0,0.081493,0.077799
1613,1,0.175,0,0.106354,0,0.63663,0.493021,0,0,0.129553,0.400321
1614,0,0.075,0.12,0.079792,0,0.509594,0.743759,0,0,0.087869,0.179734
1615,0,0.075,0.08,0.075231,0,0.526001,0.748246,0,0,0.073909,0.188183
1617,0,0,0.04,0.10429,0,0.585336,0.61729,0,0,0.133255,0.15317
1618,0,0,0.04,0.03188,0,0.579601,0.721015,0,0,0.015463,0.090513
1620,0,0.1,0.16,0.07595,0,0.46303,0.865353,0,0,0.082933,0.098341
1621,0,0.025,0.04,0.046425,0,0.49697,0.831739,0,0,0.026003,0.028369
1622,0,0.025,0.04,0.051525,0,0.484937,0.845589,0,0,0.026003,0.01992
1625,0,0.05,0,0.057952,0,0.5498,0.749226,0,0,0.03797,0.117022
1626,0,0.075,0.08,0.08503,0,0.552875,0.707313,0,0,0.08175,0.123608
1628,0,0.075,0.08,0.100702,0,0.488278,0.849681,0,0,0.063871,0.056092
1629,0,0.025,0,0.034649,0,0.515063,0.817127,0,0,0.011864,0.036818
1630,0,0.1,0.08,0.094222,0,0.492173,0.829793,0,0,0.075735,0.091077
1632,0,0,0,0.085453,0,0.60204,0.712064,0,0,0,0.08271
1634,0,0.025,0.04,0.042822,0,0.492919,0.803222,0,0,0.026003,0.035604
1635,0,0,0,0.017553,0.333333,0.56337,0.793533,0,0,0,0.087528
1636,0,0,0,0.028694,0.333333,0.494398,0.837326,0,0,0,0.052517
1637,0,0,0,0.028694,0.333333,0.494398,0.837326,0,0,0,0.052517
1638,0,0,0,0.028694,0.333333,0.494398,0.837326,0,0,0,0.052517
1640,0,0,0,0.028694,0.333333,0.494398,0.837326,0,0,0,0.052517
1641,0,0.1,0.04,0.441075,0,0.507924,0.763536,0,0,0.103229,0.144625
1642,0,0,0,0.028008,0.333333,0.507465,0.828785,0,0,0,0.060966
1643,0,0,0,0.028008,0.333333,0.507465,0.828785,0,0,0,0.060966
1644,0,0,0,0.028008,0.333333,0.507465,0.828785,0,0,0,0.060966
1645,0,0,0,0.028008,0.333333,0.507465,0.828785,0,0,0,0.060966
1647,0,0.1,0.04,0.441075,0,0.507924,0.763536,0,0,0.103229,0.144625
1648,0,0.025,0,0.0593,0,0.474087,0.863028,0,0,0.021941,0.010256
1650,0,0.075,0.08,0.105621,0,0.50578,0.731108,0,0,0.096751,0.115162
1651,0,0.05,0.08,0.088833,0,0.498832,0.762338,0,0,0.074809,0.106739
1652,0,0.125,0,0.099793,0,0.519084,0.752937,0,0,0.097882,0.168233
1653,0,0.075,0.08,0.122793,0,0.481153,0.777883,0,0,0.096751,0.086222
1654,0,0.075,0.08,0.122793,0,0.481153,0.777883,0,0,0.096751,0.086222
1655,0,0.05,0.04,0.085116,0,0.490229,0.778388,0,0,0.059346,0.07599
1656,0,0.05,0.08,0.057186,0,0.518078,0.738172,0,0,0.036865,0.103149
1657,0,0.05,0.04,0.073078,0,0.516157,0.74738,0,0,0.043214,0.105551
1658,0,0.05,0.08,0.087466,0,0.512786,0.749054,0,0,0.092792,0.115188
1659,0,0.05,0.04,0.077483,0,0.532653,0.737239,0,0,0.059346,0.106144
1660,0,0.075,0.08,0.100342,0,0.517871,0.712456,0,0,0.096751,0.11157
1662,0,0.075,0.04,0.101351,0,0.46439,0.842341,0,0,0.049731,0.063327
1663,0,0.05,0.04,0.085422,0,0.508588,0.75724,0,0,0.063511,0.106739
1664,0,0.15,0.08,0.102316,0,0.515329,0.689696,0,0,0.132651,0.229136
1665,0,0.15,0.04,0.093986,0,0.583622,0.572635,0,0,0.144618,0.328666
1666,0,0.125,0.04,0.096567,0,0.575876,0.61749,0,0,0.130235,0.24482
1667,0,0.025,0.04,0.054248,0,0.592579,0.632062,0,0,0.026003,0.149036
1669,0,0.05,0.08,0.059149,0,0.471013,0.834907,0,0,0.036865,0.041627
